"","age","inc","mortgage","ccAvg","MaxCC","MinCC","sdCC","usage","family","edu","mortS","cc","cd","online","securities","infoReq","loan"
"4773","4"," 1","1"," 4","5","2","3"," 1","2","1","0","0","0","0","0","Ph","0"
"4471","2"," 2","1"," 3","4","2","4"," 1","2","3","0","0","0","0","0","Ph","0"
"3422","5"," 2","1"," 1","2","5","2"," 6","2","1","0","1","0","1","0","Email","0"
"3940","2"," 5","4"," 1","1","1","1"," 3","3","1","1","0","0","1","0","Email","0"
"122","4"," 3","1"," 2","4","4","5"," 3","3","3","0","0","0","1","0","Email","0"
"2366","1"," 8","1"," 1","2","1","1"," 1","2","3","0","0","0","0","0","Email","0"
"3755","1"," 4","4"," 6","5","2","4"," 3","3","3","0","0","0","1","0","Ph","0"
"1072","2"," 4","1"," 1","1","1","1"," 1","4","3","0","0","0","0","0","Ph","0"
"1575","1"," 8","1"," 1","1","1","2"," 3","4","2","0","1","0","0","0","Ph","1"
"1146","4","11","1"," 1","3","5","2"," 1","1","1","0","0","0","0","0","Email","0"
"707","2"," 1","4"," 3","3","4","4"," 1","3","1","1","0","0","0","0","Email","0"
"2050","3"," 2","1"," 1","2","1","1"," 3","1","3","0","0","0","1","0","Email","0"
"2046","1"," 3","1"," 1","1","2","1"," 1","4","1","0","0","0","0","0","Email","0"
"1824","1"," 2","1"," 1","2","3","4"," 1","2","2","0","0","0","0","0","Email","0"
"754","4"," 3","1"," 1","1","1","1"," 3","4","2","0","1","0","0","0","Ph","0"
"686","3"," 4","1"," 1","1","1","1"," 3","2","2","0","0","0","1","0","Email","0"
"1152","2"," 6","1"," 1","1","1","1"," 3","2","1","0","1","0","0","0","Ph","0"
"2302","4"," 4","1"," 1","1","1","1"," 3","3","1","0","0","0","1","0","Ph","0"
"1314","4"," 3","1"," 8","5","5","4"," 3","2","3","0","0","0","1","0","Email","0"
"4236","5"," 1","1"," 1","2","1","2"," 3","1","2","0","0","0","1","0","Email","0"
"4981","5"," 5","1"," 1","5","5","2"," 3","3","3","0","0","0","1","0","Email","0"
"2183","1"," 1","4"," 3","5","5","5"," 6","4","3","1","1","0","1","0","Email","0"
"3942","4"," 4","1"," 3","4","3","4"," 1","4","3","0","0","0","0","0","Email","0"
"602","5"," 2","4"," 1","1","1","1"," 3","2","2","1","0","0","1","0","Ph","0"
"2767","5","13","5"," 3","5","5","4"," 3","2","2","1","0","0","1","0","Ph","1"
"1019","1"," 8","1"," 1","2","2","3"," 3","1","2","0","0","0","1","0","Ph","1"
"629","1"," 2","4"," 3","5","4","2"," 3","3","1","1","1","0","0","0","Email","0"
"3714","3"," 3","5"," 2","3","4","2"," 1","2","3","1","0","0","0","0","Email","0"
"4411","4","11","5"," 1","4","4","5"," 8","2","3","1","1","1","1","0","Ph","1"
"1845","2"," 1","4"," 9","4","4","2"," 3","4","1","1","0","0","1","0","Ph","0"
"3277","1"," 7","1"," 2","2","5","5"," 3","4","3","0","1","0","0","0","Email","0"
"468","3"," 1","1"," 3","2","5","5"," 6","2","3","0","1","0","1","0","Email","0"
"1891","1"," 6","1"," 8","3","4","3"," 6","1","2","0","1","0","0","1","Ph","0"
"1351","5"," 3","5"," 1","1","2","1"," 4","1","1","1","0","0","1","0","Email","0"
"4010","2"," 3","4"," 1","2","3","5"," 3","2","1","1","1","0","0","0","Email","0"
"2208","5"," 3","1"," 1","4","2","5"," 1","1","1","0","0","0","0","0","Email","0"
"3986","5"," 6","1"," 2","3","2","3"," 1","4","2","0","0","0","0","0","Email","0"
"3997","5","11","5"," 1","4","4","5"," 8","3","3","1","1","1","1","0","Email","1"
"3907","2"," 6","5"," 1","4","5","4"," 3","3","1","1","0","0","1","0","Email","0"
"2163","4"," 4","1"," 1","5","5","5"," 3","4","3","0","0","0","1","0","Email","0"
"3709","1"," 4","4"," 1","1","1","2"," 3","3","1","1","0","0","1","0","Email","0"
"3093","4"," 5","1"," 1","4","3","5"," 3","1","2","0","1","0","0","0","Email","0"
"3490","3"," 8","5"," 1","1","1","1"," 3","1","1","1","0","0","1","0","Email","0"
"4","2"," 7","1"," 1","2","1","1"," 1","1","2","0","0","0","0","0","Email","0"
"2335","1"," 5","1"," 5","4","2","5"," 1","1","1","0","0","0","0","0","Email","0"
"1082","4"," 1","4"," 2","5","5","2"," 3","2","1","1","0","0","0","1","Ph","0"
"1865","5"," 8","1"," 3","5","4","2"," 1","1","3","0","0","0","0","0","Email","1"
"3009","3"," 5","1"," 1","2","1","1"," 6","4","1","0","1","0","0","1","Email","0"
"1727","3"," 5","1"," 1","1","2","1"," 3","3","1","0","0","0","1","0","Ph","1"
"546","3"," 3","5"," 1","1","2","1","10","3","3","1","1","1","1","1","Email","0"
"1196","1"," 4","5"," 1","1","2","1"," 3","2","1","1","0","0","1","0","Email","0"
"4926","5"," 6","1"," 2","4","2","4"," 4","4","3","0","0","0","1","0","Ph","0"
"2049","2"," 6","1"," 3","5","3","2"," 1","2","1","0","0","0","0","0","Email","0"
"3865","1"," 8","5"," 1","1","1","1"," 6","2","1","1","1","0","1","0","Ph","0"
"505","4"," 3","1"," 2","3","3","4"," 1","3","3","0","0","0","0","0","Ph","0"
"2132","5"," 6","5"," 1","4","5","5"," 3","4","2","1","0","0","1","0","Email","0"
"4827","1"," 4","1"," 1","1","1","1"," 4","4","1","0","0","0","1","0","Ph","0"
"4376","2"," 5","1"," 1","1","2","2"," 1","4","3","0","0","0","0","0","Ph","0"
"4342","5"," 2","1"," 5","5","2","5"," 6","2","2","0","1","0","1","0","Email","0"
"858","5"," 9","5"," 1","1","2","1"," 1","3","2","1","0","0","0","0","Ph","1"
"640","2","10","1"," 8","4","2","3"," 1","2","1","0","0","0","0","0","Email","0"
"3197","5"," 3","5"," 1","2","5","4"," 1","4","2","1","0","0","0","0","Email","0"
"1682","5"," 3","1"," 4","3","2","4"," 6","4","1","0","0","0","1","1","Ph","0"
"3214","2"," 3","1"," 8","4","5","2"," 6","2","1","0","0","0","1","1","Ph","0"
"1568","5"," 4","1"," 1","2","4","2"," 6","4","1","0","1","0","0","1","Email","0"
"918","1"," 3","1"," 4","3","2","3"," 1","3","2","0","0","0","0","0","Email","0"
"3826","3"," 2","1"," 1","3","4","4"," 6","3","2","0","1","0","1","0","Email","0"
"458","2","14","5"," 1","1","2","1"," 1","2","1","1","0","0","0","0","Ph","0"
"2282","1"," 2","4"," 1","1","1","1"," 3","1","3","1","0","0","1","0","Email","0"
"2500","2"," 3","1"," 1","5","3","5"," 1","4","1","0","0","0","0","0","Email","0"
"2932","1"," 4","1"," 2","4","3","5"," 3","3","2","0","0","0","1","0","Ph","0"
"1626","2"," 7","1"," 3","3","3","3"," 6","3","2","0","1","0","1","0","Email","0"
"2387","3","10","1"," 1","3","2","5"," 3","2","1","0","1","0","0","0","Email","0"
"4661","4","12","5"," 2","3","2","3"," 3","1","1","1","0","0","1","0","Email","0"
"2358","2"," 4","4"," 1","1","1","1"," 4","2","1","1","0","0","1","0","Email","0"
"4346","3","10","1"," 2","4","4","2","10","4","1","0","1","1","1","0","Ph","1"
"4463","5"," 5","4"," 1","4","3","5"," 1","3","1","0","0","0","0","0","Email","0"
"2971","2","11","1"," 4","5","2","5"," 6","1","1","0","0","0","1","1","Email","0"
"2004","1"," 7","5"," 1","5","4","2"," 1","1","1","1","0","0","0","0","Email","0"
"718","5"," 8","1"," 1","1","1","1"," 6","3","1","0","0","0","1","1","Email","0"
"4561","1"," 6","1"," 4","3","4","4"," 3","4","3","0","0","0","1","0","Ph","0"
"1469","5"," 5","1"," 2","3","4","3"," 3","1","3","0","0","0","1","0","Email","0"
"296","1"," 8","1"," 4","2","3","3"," 3","1","1","0","0","0","1","0","Email","0"
"4619","3"," 5","1"," 1","3","4","3"," 1","1","2","0","0","0","0","0","Ph","0"
"3511","5"," 2","1"," 1","5","3","2"," 1","3","2","0","0","0","0","0","Email","0"
"694","1"," 5","1"," 1","1","1","2"," 1","1","1","0","0","0","0","0","Ph","0"
"2676","2"," 2","1"," 4","3","5","5"," 1","2","3","0","0","0","0","0","Email","0"
"4646","2"," 1","1"," 5","5","4","4"," 3","1","2","0","1","0","0","0","Email","0"
"2851","1","13","1"," 3","4","2","2"," 1","3","1","0","0","0","0","0","Ph","1"
"1969","2"," 4","5"," 2","4","2","3"," 1","4","3","1","0","0","0","0","Email","0"
"3153","2","11","1"," 2","3","2","4"," 8","1","2","0","1","1","0","1","Ph","1"
"1556","2"," 2","1"," 1","4","2","4"," 1","3","1","0","0","0","0","0","Email","0"
"1497","1"," 2","1"," 2","3","2","3"," 6","2","2","0","1","0","0","1","Email","0"
"1069","4"," 5","1"," 3","5","4","5"," 1","2","3","0","0","0","0","0","Email","0"
"1797","2"," 5","1"," 1","5","3","4"," 1","1","1","0","0","0","0","0","Ph","0"
"4785","2"," 2","1"," 4","3","4","2"," 1","4","1","0","0","0","0","0","Email","0"
"750","4"," 7","5"," 1","1","1","1"," 3","1","3","1","0","0","1","0","Email","0"
"443","5"," 6","1"," 2","3","3","4"," 6","2","3","0","1","0","1","0","Email","0"
"690","3"," 3","4"," 1","1","1","1"," 6","3","2","1","1","0","1","0","Email","0"
"3352","3"," 9","1"," 1","5","4","3"," 1","1","1","0","0","0","0","0","Email","0"
"3008","5"," 3","5"," 2","5","3","2"," 3","1","3","1","0","0","1","0","Email","0"
"4328","2"," 3","1"," 1","1","1","1"," 3","1","1","0","1","0","0","0","Email","0"
"3267","1"," 8","1"," 2","2","5","3"," 3","2","3","0","0","0","1","0","Ph","0"
"3578","5"," 4","4"," 1","3","5","3"," 3","1","2","0","0","0","1","0","Ph","0"
"2529","4"," 6","1"," 2","5","4","5"," 3","1","2","0","0","0","1","0","Email","0"
"3201","4"," 4","1"," 3","3","3","5"," 3","4","2","0","0","0","1","0","Ph","0"
"4920","5"," 8","1"," 1","5","2","5"," 3","1","1","0","0","0","1","0","Email","0"
"3813","3"," 3","5"," 1","2","1","1"," 3","4","2","1","0","0","1","0","Ph","0"
"4751","2"," 6","5"," 9","3","3","2"," 3","4","3","1","0","0","1","0","Email","0"
"2130","3"," 2","1"," 1","1","2","1"," 3","1","3","0","0","0","0","1","Ph","0"
"1511","4"," 2","4"," 1","1","2","1"," 6","4","3","0","1","0","1","0","Ph","0"
"1984","5"," 4","1"," 4","2","4","3"," 3","1","3","0","0","0","0","1","Ph","0"
"51","1"," 1","1"," 5","4","3","3"," 6","4","2","0","0","0","1","1","Email","0"
"891","2"," 4","1"," 2","4","5","5"," 3","2","2","0","0","0","1","0","Email","0"
"4081","2","12","1"," 9","4","3","4"," 3","2","1","0","0","0","1","0","Email","0"
"1120","3"," 6","1"," 1","1","1","1"," 1","4","3","0","0","0","0","0","Email","0"
"1158","2","13","1"," 6","2","4","4"," 1","3","2","0","0","0","0","0","Ph","1"
"372","4"," 3","5"," 3","3","5","5"," 3","4","2","1","0","0","1","0","Ph","0"
"1189","3","10","1"," 4","3","2","4"," 3","1","1","0","1","0","0","0","Email","0"
"3542","4"," 1","1"," 4","3","5","4"," 6","4","2","0","1","0","1","0","Email","0"
"4099","5"," 4","1"," 6","3","3","2"," 1","3","1","0","0","0","0","0","Email","0"
"2406","3"," 4","1"," 1","1","1","1"," 3","3","2","0","0","0","1","0","Ph","0"
"1876","3"," 6","1"," 3","2","3","2"," 1","3","2","0","0","0","0","0","Email","0"
"1192","1"," 8","1"," 1","1","1","1"," 3","2","2","0","0","0","1","0","Ph","1"
"537","1"," 5","4"," 3","4","5","4"," 3","1","2","1","1","0","0","0","Ph","0"
"1885","4","13","1"," 1","5","4","3"," 1","1","1","0","0","0","0","0","Email","0"
"2763","1","13","5"," 2","3","3","5"," 3","2","3","1","0","0","1","0","Email","1"
"1048","1"," 4","5"," 1","1","2","1"," 3","1","1","1","0","0","0","1","Email","0"
"2148","2"," 8","1"," 1","2","2","3"," 3","1","1","0","0","0","1","0","Email","0"
"1053","2"," 2","1"," 1","4","5","3"," 3","1","3","0","0","0","1","0","Ph","0"
"2425","1"," 5","1"," 1","3","4","5"," 3","4","1","0","0","0","1","0","Ph","0"
"1708","3"," 1","1"," 2","3","5","4"," 1","1","3","0","0","0","0","0","Ph","0"
"3136","4"," 3","1"," 1","1","1","1"," 3","4","1","0","0","0","1","0","Email","0"
"1808","3"," 9","1"," 4","2","3","4"," 3","1","1","0","0","0","1","0","Email","0"
"1714","2"," 1","1"," 1","5","2","5"," 6","4","2","0","1","0","1","0","Email","0"
"2573","3","11","1"," 3","2","3","3"," 3","1","1","0","1","0","0","0","Email","0"
"3569","1"," 6","4"," 1","2","1","1"," 8","1","3","1","1","1","0","1","Email","0"
"1066","3"," 5","1"," 4","4","2","3"," 3","2","1","0","0","0","1","0","Ph","1"
"1989","1","13","1"," 3","3","2","5"," 1","1","1","0","0","0","0","0","Email","0"
"1280","1"," 4","4"," 1","2","2","1"," 1","4","1","1","0","0","0","0","Email","0"
"3034","1"," 6","1"," 2","4","2","2"," 3","2","1","0","0","0","1","0","Ph","0"
"886","2"," 8","1"," 1","1","2","1"," 3","1","1","0","0","0","1","0","Email","0"
"4158","3","10","5"," 2","4","5","3"," 3","2","2","1","0","0","1","0","Email","1"
"3594","5"," 4","1"," 1","2","3","4"," 4","3","2","0","0","0","1","0","Email","0"
"3216","3"," 2","1"," 1","1","1","1"," 3","1","3","0","0","0","1","0","Email","0"
"2974","1"," 4","1"," 2","5","5","5"," 1","3","2","0","0","0","0","0","Email","0"
"1791","3"," 5","1"," 1","1","1","1"," 3","1","1","0","1","0","0","0","Ph","0"
"2548","2"," 6","5"," 2","5","5","5"," 1","2","2","1","0","0","0","0","Email","0"
"4206","3"," 2","4"," 1","5","4","5"," 6","1","3","1","1","0","1","0","Email","0"
"2797","3"," 3","1"," 1","1","2","1"," 3","1","3","0","0","0","1","0","Email","0"
"4036","3"," 6","4"," 1","2","1","1"," 3","1","1","1","0","0","1","0","Ph","0"
"1502","3"," 2","1"," 1","5","4","3"," 6","2","1","0","1","0","1","0","Ph","0"
"3403","5"," 8","5"," 1","1","1","2"," 1","1","1","1","0","0","0","0","Email","0"
"1273","2"," 1","4"," 1","4","2","3"," 6","2","3","1","1","0","1","0","Email","0"
"2855","2"," 4","5"," 2","3","2","4"," 3","4","3","1","1","0","0","0","Email","0"
"2311","4"," 8","1"," 4","4","2","3"," 3","2","1","0","0","0","1","0","Email","0"
"4803","5"," 7","1"," 1","1","1","1"," 3","2","1","0","1","0","0","0","Email","0"
"2710","2"," 2","4"," 3","3","3","5"," 1","1","2","0","0","0","0","0","Email","0"
"4382","1"," 4","1"," 1","5","3","3"," 1","4","1","0","0","0","0","0","Ph","0"
"4327","4"," 8","1"," 7","4","3","2"," 3","2","1","0","0","0","1","0","Email","0"
"1315","4"," 5","1"," 8","5","4","4"," 1","1","1","0","0","0","0","0","Email","0"
"1542","1"," 7","1"," 2","4","3","4"," 3","1","1","0","0","0","1","0","Email","0"
"4726","5"," 5","1"," 2","5","4","4"," 1","3","2","0","0","0","0","0","Ph","0"
"2972","4"," 2","1"," 4","5","2","5"," 3","2","2","0","0","0","1","0","Ph","0"
"4492","3"," 2","4"," 1","1","2","1"," 4","3","1","1","0","0","1","0","Email","0"
"2236","1"," 1","4"," 5","2","5","5"," 3","4","1","1","0","0","1","0","Email","0"
"1949","3"," 6","5"," 4","3","5","5"," 1","4","3","1","0","0","1","0","Email","0"
"3158","5","10","4"," 4","5","3","5"," 3","2","1","1","1","0","0","0","Email","0"
"4957","3"," 4","5"," 3","5","5","3"," 3","2","3","1","0","0","1","0","Email","0"
"2743","5"," 6","5"," 2","5","3","4"," 3","1","3","1","0","0","1","0","Email","0"
"1143","1"," 5","4"," 1","4","5","3"," 3","1","1","1","0","0","0","1","Email","0"
"4605","5"," 8","1"," 3","4","3","5"," 6","1","3","0","1","0","1","0","Email","0"
"2877","2"," 6","1"," 1","1","1","2"," 3","4","2","0","0","0","1","0","Email","0"
"2464","3"," 6","5"," 4","2","3","5"," 3","1","2","1","1","0","0","0","Email","0"
"1926","1","10","1"," 1","1","2","1"," 4","1","1","0","0","0","1","0","Email","0"
"4209","4"," 3","1"," 2","5","5","5"," 6","4","3","0","0","0","1","1","Email","0"
"1741","2"," 3","1"," 2","4","4","3"," 6","2","2","0","1","0","0","1","Email","0"
"1378","1"," 6","5"," 1","3","4","2"," 6","2","1","1","1","0","1","0","Email","0"
"816","2"," 3","4"," 3","3","5","5"," 3","2","1","1","0","0","1","0","Email","0"
"823","2"," 5","1"," 2","4","4","2"," 7","4","1","0","0","0","1","1","Email","0"
"2303","2"," 5","1"," 8","5","2","4"," 3","2","2","0","0","0","1","0","Ph","0"
"1208","5"," 9","4"," 1","2","2","1"," 3","1","1","0","0","0","1","0","Email","0"
"1033","4"," 4","5"," 2","5","2","5"," 6","4","1","1","1","0","1","0","Email","0"
"3219","1"," 6","1"," 2","3","4","3"," 6","3","1","0","1","0","1","0","Email","0"
"228","3"," 4","4"," 2","5","2","5"," 8","4","3","1","1","1","0","1","Ph","0"
"3344","1"," 1","4"," 3","4","3","4"," 3","1","3","1","0","0","1","0","Ph","0"
"1679","4"," 2","1"," 1","1","1","1"," 1","2","3","0","0","0","0","0","Email","0"
"1951","2"," 6","5"," 3","5","5","4"," 1","4","1","1","0","0","0","0","Email","0"
"3915","3"," 3","4"," 3","5","2","3"," 3","2","1","0","0","0","1","0","Ph","0"
"4381","4"," 6","4"," 1","5","3","2"," 1","4","2","0","0","0","0","0","Ph","0"
"1347","4"," 6","1"," 1","1","1","2"," 6","1","3","0","1","0","1","0","Email","0"
"4580","3"," 3","4"," 1","1","1","2"," 3","3","2","0","0","0","1","0","Ph","0"
"3471","4"," 3","1"," 1","2","3","4"," 6","2","1","0","0","0","1","1","Email","0"
"3270","3"," 6","1"," 2","3","4","4"," 3","2","1","0","0","0","1","0","Ph","0"
"252","5"," 4","1"," 1","5","4","3"," 3","3","1","0","1","0","0","0","Ph","0"
"1882","2"," 6","1"," 1","1","1","1"," 8","2","2","0","1","1","1","0","Email","0"
"2275","1"," 2","5"," 8","2","4","5"," 1","2","3","1","0","0","0","0","Ph","0"
"2667","1"," 9","1"," 1","5","4","4"," 1","2","3","0","0","0","0","0","Ph","1"
"3323","5"," 1","1"," 1","1","1","1"," 3","3","3","0","1","0","0","0","Ph","0"
"4356","2","10","5"," 1","1","1","1"," 6","1","1","1","1","0","1","0","Ph","0"
"2941","3","10","5"," 1","1","1","1"," 1","2","1","1","0","0","0","0","Ph","0"
"2038","4"," 2","1"," 1","1","1","1"," 6","2","3","0","1","0","1","0","Ph","0"
"2578","2"," 5","5"," 1","2","2","1"," 6","1","1","1","1","0","1","0","Email","0"
"278","4"," 1","1"," 1","2","5","4"," 3","4","1","0","0","0","1","0","Email","0"
"1240","1"," 8","1"," 1","1","1","2"," 3","1","1","0","0","0","1","0","Ph","0"
"1887","4"," 4","1"," 2","4","5","2"," 3","3","1","0","1","0","0","0","Email","0"
"940","4"," 2","1"," 3","4","4","3"," 4","4","2","0","1","0","0","0","Email","0"
"3951","1"," 2","1"," 4","2","3","5"," 1","1","3","0","0","0","0","0","Email","0"
"726","5"," 1","1"," 1","2","1","1"," 3","3","2","0","0","0","1","0","Email","0"
"3814","1"," 1","1"," 3","4","5","3"," 6","4","1","0","1","0","0","1","Email","0"
"2596","4"," 2","5"," 7","3","5","3"," 1","1","3","1","0","0","0","0","Ph","0"
"3143","3"," 9","1","10","3","3","4"," 1","4","3","0","0","0","0","0","Ph","1"
"815","3"," 4","5"," 3","3","5","5"," 6","3","2","1","1","0","1","0","Ph","0"
"3003","1"," 5","1"," 1","5","2","2"," 3","3","2","0","0","0","1","0","Email","0"
"1479","5"," 4","1"," 1","1","2","1"," 6","1","1","0","0","0","1","1","Email","0"
"3436","2"," 3","4"," 2","4","4","3"," 3","1","1","1","1","0","0","0","Email","0"
"4924","3"," 6","1"," 2","4","2","4"," 1","3","3","0","0","0","0","0","Ph","0"
"4594","3"," 3","1"," 1","4","4","3"," 1","1","2","0","0","0","0","0","Ph","0"
"4584","1"," 7","1"," 1","1","1","1"," 3","4","2","0","0","0","1","0","Email","0"
"3443","5"," 2","1"," 2","3","3","4"," 1","1","2","0","0","0","0","0","Email","0"
"1219","5"," 1","4"," 2","4","5","4"," 1","3","2","1","0","0","0","0","Email","0"
"1051","5"," 1","1"," 3","4","3","2"," 3","4","2","0","0","0","1","0","Ph","0"
"2808","4"," 4","1"," 9","2","5","2"," 6","1","3","0","1","0","1","0","Email","0"
"1267","3"," 4","1"," 5","1","5","2"," 3","2","3","0","1","0","0","0","Email","0"
"2514","4"," 1","1"," 1","1","1","1"," 6","2","1","0","1","0","1","0","Ph","0"
"3716","3"," 3","1"," 2","3","4","1"," 3","3","3","0","0","0","1","0","Email","0"
"795","1"," 6","1"," 7","4","2","2"," 1","2","1","0","0","0","0","0","Email","0"
"1913","2"," 8","5"," 7","2","4","5"," 8","2","3","1","1","1","1","0","Ph","1"
"2230","5","10","1"," 1","1","1","2"," 6","2","1","0","1","0","1","0","Email","0"
"4104","3"," 6","5"," 1","2","1","1"," 1","4","2","1","0","0","1","0","Ph","0"
"4375","4"," 8","5"," 1","4","5","5"," 1","2","1","1","0","0","0","0","Ph","0"
"4168","1"," 6","1"," 1","1","1","1"," 1","1","3","0","0","0","0","0","Email","1"
"3185","5"," 2","1"," 3","4","2","3"," 1","1","3","0","0","0","0","0","Email","0"
"4488","4"," 1","1"," 1","1","1","1"," 6","1","2","0","1","0","1","0","Email","0"
"2439","5"," 3","1"," 3","5","3","4"," 6","3","2","0","1","0","1","0","Email","0"
"2722","2"," 5","5"," 1","5","4","3"," 3","3","1","1","0","0","1","0","Ph","0"
"1588","4"," 5","1"," 1","4","5","4"," 6","1","3","0","0","1","1","0","Email","1"
"1640","5"," 2","5"," 3","4","4","5"," 3","4","1","1","1","0","0","0","Ph","0"
"95","5"," 8","1"," 1","5","5","4"," 1","1","1","0","0","0","0","0","Email","0"
"2372","3","11","1"," 1","2","3","5"," 1","2","1","0","0","0","0","0","Email","0"
"4108","1"," 6","1"," 1","1","1","1"," 3","4","3","0","0","0","1","0","Ph","0"
"30","2"," 8","1"," 1","3","4","4"," 7","1","2","0","1","1","1","0","Ph","1"
"340","5"," 6","1"," 3","4","5","4"," 6","1","1","0","1","0","1","0","Email","0"
"774","5"," 2","1"," 1","1","1","2"," 3","3","2","0","1","0","0","0","Ph","0"
"3630","5"," 4","1"," 3","4","2","3"," 3","4","3","0","1","0","0","0","Email","0"
"3464","5"," 4","1"," 5","3","5","3"," 3","4","1","0","0","0","0","1","Email","0"
"4578","1"," 1","1"," 2","2","3","5"," 3","1","3","0","0","0","1","0","Email","0"
"2197","3"," 3","1"," 1","4","3","2"," 3","4","3","0","0","0","1","0","Ph","0"
"351","1","11","1"," 1","1","1","1"," 3","4","2","0","0","0","1","0","Email","1"
"3054","2"," 6","5"," 3","3","3","4"," 7","1","3","1","0","0","1","1","Email","0"
"3570","3"," 4","1"," 4","4","3","4"," 6","2","3","0","1","0","1","0","Ph","0"
"646","5"," 4","5"," 1","2","1","1","10","4","1","1","1","1","1","1","Email","0"
"1866","1"," 7","5"," 1","2","1","1"," 1","4","2","1","0","0","0","0","Email","0"
"1059","3"," 6","4"," 1","4","2","4"," 1","1","1","1","0","0","0","0","Email","1"
"273","2"," 4","1"," 3","3","3","4"," 3","3","3","0","0","0","1","0","Ph","0"
"1862","5"," 1","1"," 1","2","1","2"," 1","2","1","0","0","0","0","0","Email","0"
"306","4"," 5","1"," 1","4","3","5"," 6","1","1","0","1","0","1","0","Email","0"
"1062","2"," 8","1"," 2","4","5","5"," 3","1","1","0","1","0","0","0","Ph","0"
"257","5"," 1","1"," 4","4","3","3"," 3","3","1","0","1","0","0","0","Email","0"
"3149","4"," 2","1"," 1","2","2","3"," 1","1","2","0","0","0","0","0","Email","0"
"1399","1"," 3","5"," 1","2","2","1"," 6","4","1","1","1","0","0","1","Email","0"
"473","5"," 8","1"," 4","4","4","2"," 3","2","1","0","0","0","1","0","Email","0"
"338","1","11","5"," 2","3","5","3"," 1","2","1","1","0","0","0","0","Ph","0"
"4132","4"," 1","1"," 1","1","1","1"," 3","2","1","0","0","0","1","0","Email","0"
"3539","1"," 6","1"," 5","2","2","4"," 1","3","1","0","0","0","0","0","Email","0"
"3831","1"," 6","1"," 5","4","5","2"," 3","2","1","0","0","0","1","0","Email","0"
"4607","2"," 2","5"," 3","4","3","5"," 4","3","1","1","0","0","1","0","Email","0"
"486","2"," 6","1"," 1","2","2","1"," 6","4","2","0","1","0","1","0","Ph","0"
"465","1"," 1","1"," 2","2","4","4"," 3","2","3","0","0","0","1","0","Ph","0"
"3745","4"," 3","1"," 1","1","2","1"," 3","3","3","0","0","0","1","0","Ph","0"
"3677","1"," 3","4"," 1","1","1","2"," 1","1","1","0","0","0","0","0","Email","0"
"45","3"," 7","1"," 1","4","5","3"," 7","1","1","0","1","0","1","0","Ph","0"
