obs,duration,new_car,used_car,furniture,radio_tv,education,retraining,install_rate,co_applicant,guarantor,real_estate,prop_unkn_none,age,other_install,rent,own_res,num_credits,num_dependents,telephone,foreign,response,amount
35,12,0,0,1,0,0,0,4,0,0,0,0,33,1,0,1,1,1,1,0,1,1474
36,45,0,0,0,1,0,0,4,0,0,0,0,25,0,0,1,2,1,0,0,0,4746
37,48,0,0,0,0,1,0,1,0,0,0,1,31,1,0,0,1,1,1,0,1,6110
38,18,0,0,0,1,0,0,4,1,0,1,0,37,1,0,1,1,1,0,0,0,2100
39,10,0,0,0,0,0,0,2,0,0,0,0,37,0,0,1,1,1,1,0,1,1225
40,9,0,0,0,1,0,0,4,0,0,1,0,24,0,0,1,1,1,0,0,1,458
41,30,0,0,0,1,0,0,4,0,0,0,0,30,1,0,1,1,1,0,0,1,2333
42,12,0,0,0,1,0,0,3,0,0,0,0,26,0,0,1,1,1,1,0,1,1158
43,18,0,0,0,0,0,0,2,0,0,1,0,44,0,0,1,1,2,1,0,1,6204
44,30,0,1,0,0,0,0,1,0,0,0,0,24,0,1,0,2,1,0,0,1,6187
45,48,0,1,0,0,0,0,4,0,0,0,1,58,1,0,0,2,1,0,0,0,6143
46,11,1,0,0,0,0,0,4,0,0,0,0,35,0,0,1,2,1,0,0,1,1393
47,36,0,0,0,1,0,0,4,0,0,0,0,39,0,0,1,1,1,0,0,1,2299
48,6,0,1,0,0,0,0,,,,,,,,,,,,,,1,
49,11,1,0,0,0,0,0,1,0,0,0,0,39,0,0,1,2,1,0,0,1,7228
50,12,0,0,0,1,0,0,4,1,0,1,0,28,0,0,1,1,1,0,0,1,2073
51,24,0,0,1,0,0,0,4,0,0,0,0,29,1,0,1,1,1,0,0,1,2333
52,27,0,1,0,0,0,0,1,0,0,0,0,30,0,0,1,2,1,1,0,1,5965
53,12,0,0,0,1,0,0,3,0,0,0,0,25,0,0,1,1,1,0,0,1,1262
54,18,0,1,0,0,0,0,2,0,0,0,0,31,0,0,1,1,1,1,0,1,3378
55,36,1,0,0,0,0,0,4,0,0,0,1,57,,,,,,,,,2225
56,6,1,0,0,0,0,0,1,0,1,1,0,26,1,0,1,1,2,0,0,1,783
57,12,0,0,0,1,0,0,2,0,0,0,1,52,0,0,1,1,1,1,0,0,6468
58,36,0,0,0,1,0,0,2,0,0,0,0,31,1,0,1,2,1,0,0,1,9566
59,18,1,0,0,0,0,0,3,0,0,0,0,23,0,0,1,1,1,0,0,1,1961
60,36,0,0,1,0,0,0,4,1,0,0,1,23,0,1,0,2,1,1,0,0,6229
61,9,0,0,0,0,0,1,2,0,0,1,0,27,1,0,1,1,1,1,0,1,1391
62,15,0,0,0,1,0,0,4,0,1,1,0,50,0,0,1,2,1,1,0,1,1537
63,36,0,0,0,0,0,1,4,0,0,0,1,61,0,0,0,1,1,1,0,0,1953
64,48,0,0,0,0,0,1,2,0,0,0,0,25,0,0,1,1,1,1,0,0,14421
65,24,0,0,0,1,0,0,4,0,0,0,0,26,0,0,1,1,1,1,0,1,3181
66,27,0,0,0,0,0,0,4,0,0,0,0,48,0,0,1,4,2,1,0,1,5190
67,12,0,0,0,1,0,0,2,0,0,0,0,29,1,0,1,1,1,0,0,1,2171
68,12,1,0,0,0,0,0,4,0,0,1,0,22,0,0,1,1,1,0,0,1,1007
69,36,0,0,0,0,1,0,4,0,0,0,1,37,1,0,0,1,1,1,0,0,1819
70,36,0,0,0,1,0,0,4,0,0,0,0,25,0,0,1,1,1,0,0,1,2394
71,36,0,1,0,0,0,0,1,0,0,0,0,30,1,0,1,1,1,0,0,1,8133
72,7,0,0,0,1,0,0,4,0,0,0,0,46,0,1,0,2,1,1,0,1,730
73,8,0,0,0,0,0,0,3,0,0,0,1,51,1,0,0,2,2,1,0,1,1164
74,42,0,0,0,0,0,1,2,0,0,1,0,41,1,0,1,2,1,0,0,1,5954
75,36,0,0,0,0,1,0,4,0,0,0,1,40,0,0,1,1,1,1,0,0,1977
76,12,0,1,0,0,0,0,4,0,0,0,1,66,0,0,0,2,1,0,0,1,1526
77,42,0,0,0,1,0,0,4,0,0,0,0,34,0,0,1,1,1,0,0,0,3965
78,11,0,0,0,1,0,0,2,0,0,0,0,51,0,0,1,1,1,0,0,1,4771
79,54,0,1,0,0,0,0,2,0,0,0,0,39,0,0,1,1,2,0,0,1,9436
80,30,0,0,1,0,0,0,2,0,0,0,0,22,0,0,1,1,1,0,0,1,3832
81,24,0,0,0,1,0,0,1,0,0,0,0,44,0,0,1,2,1,1,0,0,5943
82,15,0,0,0,1,0,0,4,0,0,0,0,47,1,0,1,1,1,1,0,1,1213
83,18,0,0,0,0,0,1,3,0,0,0,0,24,0,1,0,1,1,0,0,1,1568
84,24,0,0,0,0,0,0,4,0,1,1,0,58,0,0,1,1,1,1,0,1,1755
85,10,0,0,0,1,0,0,3,0,0,1,0,52,0,0,1,1,1,0,0,1,2315
86,12,0,0,0,0,0,1,4,0,1,1,0,29,0,0,1,2,1,1,0,1,1412
87,18,0,0,1,0,0,0,4,0,0,0,0,27,0,0,1,2,1,0,0,1,1295
88,36,0,0,0,0,1,0,1,0,0,0,1,47,0,0,0,1,2,1,0,0,12612
89,18,1,0,0,0,0,0,4,0,0,0,0,30,0,0,1,1,2,1,0,1,2249
90,12,0,0,0,0,0,0,4,0,0,1,0,28,0,0,1,2,1,0,0,0,1108
91,12,0,0,0,1,0,0,4,0,0,1,0,56,0,0,1,1,1,0,0,1,618
92,12,0,1,0,0,0,0,4,0,0,1,0,54,0,0,1,1,1,0,0,1,1409
93,12,0,0,0,1,0,0,4,0,0,0,0,33,1,0,1,1,2,0,0,0,797
94,24,0,0,1,0,0,0,4,1,0,0,1,20,0,1,0,2,1,0,0,1,3617
95,12,1,0,0,0,0,0,4,0,0,1,0,54,0,0,1,1,1,1,0,1,1318
96,54,0,0,0,0,0,1,3,0,0,0,1,58,0,1,0,1,1,1,0,0,15945
97,12,0,0,0,0,1,0,4,0,0,0,0,,,,,,,0,0,1,2012
98,18,0,0,0,0,0,1,4,0,0,0,0,34,0,0,1,1,1,0,0,1,2622
99,36,0,0,0,1,0,0,4,0,0,1,0,36,0,0,1,1,1,0,0,1,2337
100,20,0,1,0,0,0,0,3,0,0,0,0,36,1,1,0,2,2,1,0,1,7057
101,24,1,0,0,0,0,0,4,0,0,1,0,41,0,1,0,1,1,0,0,1,1469
102,36,0,0,0,1,0,0,4,0,0,0,0,24,0,1,0,1,1,0,0,1,2323
103,6,0,0,0,1,0,0,3,0,0,1,0,24,0,0,1,1,1,0,0,1,932
104,9,0,0,1,0,0,0,4,0,0,0,0,35,0,1,0,1,1,1,0,1,1919
105,12,0,1,0,0,0,0,2,0,0,0,0,26,0,1,0,1,1,1,0,1,2445
106,24,0,0,0,0,0,0,2,1,0,0,0,39,0,0,1,2,2,1,0,0,11938
107,18,1,0,0,0,0,0,2,0,0,0,1,39,1,0,1,2,2,1,0,0,6458
108,12,1,0,0,0,0,0,2,0,0,0,0,32,0,0,1,1,1,0,0,1,6078
109,24,0,0,1,0,0,0,1,0,0,0,0,30,0,0,1,1,1,1,1,1,7721
110,14,0,0,0,0,0,1,1,0,0,1,0,35,0,0,1,1,1,1,0,1,1410
111,6,0,0,0,0,0,1,1,0,0,0,0,31,1,0,1,2,2,0,0,1,1449
112,15,0,0,0,0,1,0,4,0,0,0,0,23,0,1,0,1,1,1,0,1,392
113,18,1,0,0,0,0,0,3,0,0,1,0,28,0,1,0,1,1,0,0,1,6260
114,36,1,0,0,0,0,0,4,0,0,1,0,25,1,0,1,2,1,1,0,0,7855
115,12,0,0,0,1,0,0,3,0,0,1,0,35,0,0,1,1,1,0,0,1,1680
116,48,0,0,0,1,0,0,4,0,0,1,0,47,0,0,1,1,1,1,0,1,3578
117,42,0,0,0,1,0,0,4,0,0,0,0,30,0,0,1,1,1,1,0,0,7174
118,10,0,0,1,0,0,0,2,1,0,1,0,27,0,1,0,2,1,0,1,1,2132
119,33,0,0,1,0,0,0,1,0,0,0,0,23,0,0,1,2,1,0,0,0,4281
120,12,1,0,0,0,0,0,3,0,0,0,0,36,0,0,1,1,1,1,0,1,2366
121,21,0,0,0,1,0,0,3,0,0,1,0,25,0,0,1,2,1,1,0,0,1835
122,24,0,1,0,0,0,0,4,0,0,0,0,41,0,1,0,2,1,1,0,1,3868
123,12,0,0,1,0,0,0,3,0,0,1,0,24,0,1,0,1,1,0,0,1,1768
124,10,1,0,0,0,0,0,4,0,0,0,1,63,0,0,0,2,1,1,0,1,781
125,18,0,0,1,0,0,0,4,0,0,1,0,27,0,1,0,1,1,0,0,0,1924
126,12,1,0,0,0,0,0,4,0,0,0,0,30,0,0,1,2,1,0,0,1,2121
127,12,0,0,0,1,0,0,4,,0,1,0,40,0,0,1,1,1,0,0,1,701
128,12,0,0,0,0,0,0,4,0,0,0,0,30,0,0,1,1,1,0,0,0,639
129,12,0,1,0,0,0,0,4,0,0,0,0,34,0,0,1,2,1,1,0,1,1860
130,12,1,0,0,0,0,0,3,1,0,1,0,29,0,0,1,2,1,0,0,0,3499
131,48,1,0,0,0,0,0,1,0,0,0,0,24,0,0,1,1,1,0,0,1,8487
132,36,0,0,0,0,1,0,4,0,0,0,0,29,1,0,1,1,1,1,0,0,6887
133,15,0,0,1,0,0,0,2,0,0,0,0,27,1,0,1,2,1,0,0,1,2708
134,18,0,0,1,0,0,0,4,0,0,0,1,47,1,0,0,2,1,0,0,1,1984
135,60,0,0,0,1,0,0,2,0,0,1,0,21,0,0,1,1,1,1,0,1,10144
136,12,0,0,0,1,0,0,4,0,0,1,0,38,0,0,1,2,1,1,0,1,1240
137,27,0,1,0,0,0,0,2,0,0,0,0,27,0,0,1,2,1,0,0,1,8613
138,12,0,0,0,1,0,0,4,0,0,1,0,66,0,0,1,1,1,0,0,0,766
139,15,0,0,0,1,0,0,4,0,1,1,0,35,1,0,1,3,1,1,0,1,2728
140,12,0,0,0,1,0,0,2,0,0,0,0,44,0,1,0,1,1,1,0,1,1881
141,6,1,0,0,0,0,0,2,0,0,1,0,27,0,0,1,1,1,0,1,1,709
142,36,0,0,0,1,0,0,4,0,0,0,1,30,0,0,1,1,1,1,0,1,4795
143,27,0,0,0,1,0,0,3,0,0,0,0,27,0,0,1,1,1,0,0,1,3416
144,18,0,0,1,0,0,0,2,0,0,0,0,22,0,0,1,1,1,0,0,0,2462
145,21,0,0,1,0,0,0,4,0,0,0,0,23,0,0,1,1,1,1,0,1,2288
146,48,0,0,0,0,0,1,4,0,0,0,0,30,0,0,1,1,1,0,0,1,3566
147,6,1,0,0,0,0,0,1,0,0,0,1,39,0,0,1,2,1,1,0,1,860
148,12,1,0,0,0,0,0,4,0,0,0,0,51,0,0,1,2,1,1,0,1,682
149,36,0,0,1,0,0,0,3,0,1,0,0,28,0,0,1,2,1,0,0,1,5371
150,18,0,0,0,1,0,0,4,0,0,0,0,46,0,0,1,2,1,0,0,1,1582
151,6,0,0,0,1,0,0,2,0,0,0,1,42,1,0,0,1,2,1,0,1,1346
152,10,0,0,0,1,0,0,1,0,0,0,0,38,0,0,1,1,1,1,1,1,1924
153,36,0,0,0,1,0,0,4,0,0,0,0,24,0,0,1,1,1,0,0,1,5848
154,24,0,1,0,0,0,0,2,0,0,0,1,29,0,1,0,1,1,0,0,1,7758
155,24,0,0,0,0,0,1,4,0,0,0,0,36,0,1,0,1,1,1,0,1,6967
156,12,0,0,1,0,0,0,2,0,0,0,0,20,0,1,0,1,1,0,0,0,1282
157,9,0,0,0,0,0,0,3,0,1,1,0,48,0,0,1,2,2,0,1,1,1288
158,12,0,0,0,0,0,0,4,0,0,0,0,45,1,0,1,1,1,0,0,1,339
159,24,1,0,0,0,0,0,2,0,0,0,0,38,1,0,1,2,1,1,0,1,3512
160,6,0,0,0,1,0,0,1,0,0,1,0,34,0,0,1,2,2,0,0,1,1898
161,24,0,0,0,1,0,0,3,0,0,1,0,36,0,0,1,1,2,1,0,1,2872
162,18,1,0,0,0,0,0,4,0,0,0,0,30,0,0,1,2,1,0,0,1,1055
163,15,0,0,0,0,0,0,4,0,0,0,0,36,0,0,1,2,1,1,0,1,1262
164,10,1,0,0,0,0,0,2,0,0,0,1,70,1,0,0,1,1,1,0,1,7308
165,36,1,0,0,0,0,0,4,0,0,0,0,36,0,0,1,1,1,0,0,1,909
166,6,0,0,1,0,0,0,1,0,0,0,0,32,0,0,1,1,1,1,0,1,2978
167,18,0,0,1,0,0,0,4,0,0,0,0,33,0,0,1,1,1,0,0,0,1131
168,11,0,0,1,0,0,0,4,0,0,1,0,20,0,0,1,1,1,0,0,1,1577
169,24,0,0,1,0,0,0,2,0,0,0,0,25,0,1,0,1,1,1,0,1,3972
170,24,0,0,0,0,0,1,4,0,0,1,0,31,0,0,1,2,1,1,0,0,1935
171,15,1,0,0,0,0,0,4,0,0,0,0,33,0,1,0,2,2,0,0,0,950
172,12,0,0,1,0,0,0,4,0,0,1,0,26,0,0,1,1,1,1,0,1,763
173,24,0,0,1,0,0,0,3,0,0,0,0,34,0,0,1,1,1,1,0,0,2064
174,8,0,0,0,1,0,0,4,0,1,1,0,33,0,0,1,1,1,0,1,1,1414
175,21,0,0,0,0,1,0,2,0,0,0,0,26,0,0,1,2,1,0,0,0,3414
176,30,0,1,0,0,0,0,4,0,0,1,0,53,1,0,1,1,1,1,0,0,7485
177,12,0,0,1,0,0,0,2,0,0,0,0,42,0,0,1,1,1,0,0,1,2577
178,6,0,0,0,1,0,0,4,0,0,0,0,52,0,0,1,2,1,0,0,1,338
179,12,0,0,0,1,0,0,4,0,0,0,0,31,0,1,0,2,2,1,0,1,1963
180,21,1,0,0,0,0,0,4,0,0,1,0,65,0,0,1,2,1,0,0,1,571
181,36,0,0,0,0,0,1,1,0,0,0,0,28,0,0,1,2,1,0,0,0,9572
182,36,0,0,0,0,0,1,2,0,0,1,0,30,1,0,1,2,1,1,0,0,4455
183,21,1,0,0,0,0,0,4,0,0,0,0,40,0,0,1,2,2,0,0,0,1647
184,24,0,0,1,0,0,0,4,0,0,1,0,50,0,0,1,1,1,1,0,1,3777
185,18,1,0,0,0,0,0,4,0,0,0,0,36,1,0,1,1,2,1,0,0,884
186,15,0,0,0,1,0,0,4,0,0,0,0,31,0,0,1,2,1,0,0,1,1360
187,9,0,1,0,0,0,0,2,0,0,0,1,74,1,0,0,1,2,1,0,0,5129
188,16,1,0,0,0,0,0,2,0,0,0,0,68,0,0,0,3,1,1,0,1,1175
189,12,0,0,0,1,0,0,4,0,0,0,0,20,0,0,1,1,1,0,0,0,674
190,18,0,0,1,0,0,0,1,0,0,0,0,33,1,0,1,2,1,1,0,1,3244
191,24,0,0,0,0,0,1,2,0,0,0,0,54,0,0,1,3,1,1,0,0,4591
192,48,0,0,0,0,0,1,4,0,0,0,1,34,0,0,0,1,2,0,0,0,3844
193,27,0,0,0,0,0,1,4,0,0,0,0,36,0,0,1,1,2,1,0,0,3915
194,6,0,0,0,1,0,0,2,0,0,1,0,29,0,1,0,1,1,0,0,1,2108
195,45,0,0,0,1,0,0,4,0,1,0,0,21,0,1,0,1,1,0,0,0,3031
196,9,0,0,0,0,1,0,2,0,0,0,0,34,0,0,1,2,1,1,0,0,1501
197,6,0,0,0,1,0,0,1,0,0,0,0,28,0,0,1,2,1,1,0,1,1382
198,12,0,0,1,0,0,0,4,0,0,0,0,27,1,1,0,4,1,0,0,0,951
199,24,0,1,0,0,0,0,4,0,0,0,1,36,1,0,0,1,1,1,0,1,2760
200,18,0,0,1,0,0,0,4,0,0,0,1,40,0,0,1,1,1,1,0,0,4297
201,9,0,0,0,0,1,0,4,0,0,0,0,52,0,0,1,2,1,1,0,1,936
202,12,1,0,0,0,0,0,4,0,0,1,0,27,0,0,1,1,1,0,0,1,1168
203,27,0,0,0,0,0,1,3,0,0,0,0,26,0,0,1,2,1,0,0,1,5117
204,12,0,0,0,0,0,0,4,0,0,0,0,21,0,1,0,1,1,0,0,0,902
205,12,1,0,0,0,0,0,4,0,0,1,0,38,0,0,1,2,2,0,0,1,1495
206,30,0,1,0,0,0,0,3,0,0,0,1,38,0,0,0,3,2,1,0,1,10623
207,12,0,0,1,0,0,0,4,0,0,1,0,43,0,0,1,3,1,1,0,1,1935
208,12,0,0,0,0,0,0,4,0,0,0,0,26,0,0,1,1,1,0,0,1,1424
209,24,0,0,0,0,0,1,2,0,0,0,0,21,1,0,1,1,1,0,0,1,6568
210,12,0,1,0,0,0,0,3,0,0,0,0,55,0,0,1,1,1,0,1,1,1413
211,9,0,0,0,1,0,0,1,0,0,1,0,33,0,0,1,2,2,0,0,1,3074
212,36,0,0,0,1,0,0,2,0,0,1,0,45,0,0,1,1,1,1,0,1,3835
213,27,0,0,0,0,0,1,2,0,0,0,0,50,1,0,1,2,1,1,0,0,5293
214,30,0,0,0,0,0,1,4,0,0,1,0,66,0,0,1,1,1,1,0,0,1908
215,36,0,0,0,1,0,0,4,0,0,0,0,51,0,0,1,1,1,1,0,1,
216,6,0,0,0,0,0,0,1,0,0,0,0,39,0,0,1,2,1,0,0,1,932
217,18,0,0,0,0,0,1,3,0,0,0,0,31,1,0,1,1,1,1,0,1,3104
218,36,0,0,0,1,0,0,2,0,0,1,0,23,0,0,1,1,1,1,0,1,3913
219,24,0,0,1,0,0,0,2,0,0,1,0,24,0,1,0,1,1,0,0,1,3021
220,10,1,0,0,0,0,0,2,0,0,0,0,64,0,0,1,1,1,1,0,1,1364
221,12,0,0,0,1,0,0,4,0,1,1,0,26,1,0,1,1,1,0,0,1,625
222,12,0,0,0,0,1,0,4,0,0,0,0,23,1,1,0,1,1,1,0,1,1200
223,12,0,0,0,1,0,0,4,0,0,1,0,30,1,0,1,2,1,0,0,1,707
224,24,0,0,0,0,0,1,4,0,0,1,0,32,0,0,1,2,2,1,0,1,2978
225,15,0,1,0,0,0,0,3,0,0,0,0,30,0,0,1,1,1,1,0,1,4657
226,36,0,0,0,0,0,0,4,0,0,0,0,27,0,0,1,2,1,0,0,1,2613
227,48,0,0,0,1,0,0,1,1,0,0,1,27,1,0,1,2,1,1,0,0,10961
228,12,0,0,1,0,0,0,4,0,0,0,1,53,0,0,0,1,1,1,0,0,7865
229,9,0,0,0,1,0,0,4,0,0,0,0,22,0,0,1,1,1,0,0,0,1478
230,24,0,0,1,0,0,0,4,0,0,0,1,22,1,0,0,1,1,0,0,1,3149
231,36,0,0,0,1,0,0,4,0,0,0,0,26,0,0,1,1,1,0,0,0,4210
232,9,1,0,0,0,0,0,2,0,0,0,1,51,0,0,0,1,1,0,0,1,2507
233,12,0,0,0,1,0,0,3,0,0,0,1,35,0,0,1,1,1,0,0,1,2141
234,18,0,0,0,1,0,0,4,0,1,1,0,25,0,0,1,1,1,0,0,1,866
235,4,0,0,0,1,0,0,2,0,0,1,0,42,0,0,1,3,2,0,0,1,1544
236,24,0,0,0,1,0,0,4,0,0,0,0,30,1,0,1,1,2,0,0,0,1823
237,6,1,0,0,0,0,0,1,0,0,0,0,23,0,0,1,1,1,1,0,0,14555
238,21,0,0,0,0,0,1,4,0,0,0,0,61,1,1,0,2,1,0,0,0,2767
239,12,0,0,0,1,0,0,4,0,0,0,0,35,0,0,1,2,1,0,0,1,1291
240,30,0,0,0,1,0,0,1,0,1,0,0,39,0,0,1,1,2,0,0,1,2522
241,24,1,0,0,0,0,0,4,0,0,0,0,29,1,0,1,1,1,0,0,0,915
242,6,0,0,0,1,0,0,3,0,0,0,0,51,0,0,1,1,2,0,0,1,1595
243,48,0,1,0,0,0,0,3,0,0,0,1,24,0,0,0,2,2,0,0,0,4605
244,12,0,0,0,0,0,1,3,0,0,1,0,27,0,0,1,2,1,0,0,1,1185
245,12,0,0,0,0,0,0,4,0,0,1,0,35,0,0,1,1,2,0,0,1,3447
246,24,0,0,0,0,0,1,4,0,0,1,0,25,0,0,1,1,1,1,0,1,1258
247,12,0,0,0,1,0,0,4,0,0,1,0,52,0,0,1,3,1,0,0,1,717
248,6,1,0,0,0,0,0,4,0,0,0,1,35,1,1,0,1,1,0,1,1,1204
249,24,0,0,1,0,0,0,2,0,0,1,0,26,0,0,1,1,1,0,0,1,1925
250,18,0,0,0,1,0,0,3,1,0,1,0,22,0,1,0,1,1,0,0,0,433
251,6,1,0,0,0,0,0,3,0,0,1,0,39,0,0,1,2,1,1,0,1,666
252,12,0,0,1,0,0,0,1,0,0,0,0,46,0,0,1,1,1,0,0,1,2251
253,30,1,0,0,0,0,0,4,0,1,0,1,24,1,0,1,1,1,0,0,0,2150
254,24,0,0,1,0,0,0,2,0,0,0,0,35,0,0,1,2,1,0,0,1,4151
255,9,0,0,1,0,0,0,2,0,0,0,0,24,0,0,1,1,1,1,0,1,2030
256,60,0,0,0,1,0,0,1,0,0,1,0,27,0,0,1,1,1,0,0,1,7418
257,24,0,0,0,1,0,0,4,0,0,1,0,35,0,0,1,2,1,0,0,1,2684
258,12,0,0,0,1,0,0,4,0,0,0,1,29,0,0,0,1,1,0,0,0,2149
259,15,0,1,0,0,0,0,1,0,0,0,0,23,0,0,1,1,1,1,0,1,3812
260,11,0,0,0,1,0,0,4,0,0,1,0,57,0,0,1,3,1,0,0,1,1154
261,12,0,0,1,0,0,0,2,0,0,1,0,27,0,0,1,1,1,0,0,1,1657
262,24,0,0,0,1,0,0,4,0,0,0,0,55,0,0,1,1,1,0,0,1,1603
263,18,1,0,0,0,0,0,2,0,0,0,1,36,0,0,0,3,1,1,0,1,5302
264,12,0,0,0,0,1,0,2,0,0,0,1,57,1,0,0,3,1,0,0,1,2748
265,10,1,0,0,0,0,0,3,0,0,1,0,32,0,0,1,2,2,0,1,1,1231
266,15,0,0,0,1,0,0,4,0,0,0,0,37,0,0,1,1,2,0,0,0,802
267,36,0,0,0,0,0,1,,,,,,,,,1,2,1,0,0,1,
268,24,0,0,0,1,0,0,4,0,0,0,0,38,1,0,1,1,1,1,0,1,1533
269,14,1,0,0,0,0,0,1,0,0,0,0,45,0,0,1,1,1,1,1,0,8978
270,24,0,0,0,1,0,0,4,0,0,0,0,25,0,0,1,2,1,0,0,1,999
271,18,1,0,0,0,0,0,4,0,0,0,0,32,0,0,1,1,1,0,1,1,2662
272,12,0,0,1,0,0,0,3,0,0,0,0,37,0,1,0,1,1,1,0,1,1402
273,48,1,0,0,0,0,0,4,1,0,0,1,36,0,0,0,1,1,1,0,1,12169
274,48,0,0,0,1,0,0,4,0,0,1,0,28,0,0,1,2,1,0,0,0,3060
275,30,0,0,0,0,0,0,1,0,0,0,1,34,0,0,1,1,1,1,0,0,11998
276,9,0,0,0,1,0,0,1,0,0,1,0,32,0,0,1,1,2,0,0,1,2697
277,18,0,0,0,1,0,0,2,0,0,0,0,26,0,0,1,2,1,0,0,1,2404
278,12,0,0,1,0,0,0,2,0,0,0,0,49,0,0,1,1,1,1,0,1,1262
279,6,0,0,1,0,0,0,1,0,0,0,0,32,0,0,1,1,1,0,0,0,4611
280,24,0,0,0,1,0,0,4,0,0,0,0,29,0,1,0,1,1,1,0,1,1901
281,15,0,1,0,0,0,0,3,0,0,0,1,23,0,1,0,2,1,1,0,1,3368
282,12,0,0,1,0,0,0,4,0,0,1,0,50,0,0,1,1,1,0,0,1,1574
283,18,0,0,0,1,0,0,4,0,0,0,0,49,1,0,1,1,1,0,0,1,1445
284,15,0,0,1,0,0,0,4,0,0,0,0,63,0,0,1,1,1,0,0,1,1520
285,24,1,0,0,0,0,0,4,0,0,0,0,37,0,0,1,1,1,1,0,1,3878
286,47,1,0,0,0,0,0,1,0,0,1,0,35,0,0,1,1,1,1,0,1,10722
287,48,0,1,0,0,0,0,4,0,0,0,0,26,0,0,1,1,2,0,0,1,4788
288,48,0,0,0,0,0,0,2,0,0,0,1,31,0,0,0,1,1,1,0,1,7582
289,12,0,0,0,1,0,0,4,0,1,1,0,49,0,0,1,2,1,1,0,1,1092
290,24,0,0,0,1,0,0,4,0,0,1,0,48,1,0,1,1,1,0,0,0,1024
291,12,0,0,0,0,0,1,2,0,0,1,0,26,0,0,1,1,1,1,1,1,1076
292,36,0,1,0,0,0,0,1,0,0,0,0,28,0,1,0,1,1,1,0,0,9398
293,24,0,1,0,0,0,0,2,0,0,0,1,44,0,0,0,2,2,1,0,1,6419
294,42,0,1,0,0,0,0,4,0,0,0,1,56,0,0,0,1,1,0,0,1,4796
295,48,0,0,0,0,0,1,4,0,0,0,0,46,1,0,1,2,2,0,0,1,7629
296,48,0,0,1,0,0,0,1,0,0,0,0,26,0,0,1,1,1,1,0,0,9960
