ID,age,exp,inc,mortgage,ccAvg,MaxCC,MinCC,sdCC,usage,family,edu,mortS,cc,cd,online,securities,infoReq,loan
149,52,28,163,116,17.79318115,28.09601343,24.92171617,22.02843546,0.25,2,1,1,0,0,1,0,Email,0
150,46.81924142,22,42,0,18.74149894,29.19712711,26.21767264,22.57729723,0,3,2,0,0,0,0,0,Ph,0
151,46,22,118,0,17.2062854,26.79364491,24.02914049,21.15069626,0.666666667,2,1,0,1,1,1,0,Email,0
152,26,0,132,0,0.487391461,0.941310739,0.80017588,0.469767055,0.25,3,3,0,1,0,0,0,Ph,1
153,57,32,24,0,66.2587601,12.18139831,96.39131392,32.32504056,0.5,1,1,0,1,0,1,0,Email,0
154,60,36,82.40105821,0,68.91293362,12.59385918,100.3134032,33.48787426,1,2,1,0,1,1,1,1,Email,0
155,54,29,58,0,62.70815481,11.49391416,92.90212635,30.78862935,0,4,3,0,0,0,0,0,Email,0
156,24,0,60,0,2.238878549,0.424454645,2.206821066,0.95072895,0.25,4,1,0,0,0,1,0,Email,0
157,26,0,15,0,8.981374352,5.022370723,54.27197709,4.95248287,0.25,4,1,0,1,0,0,0,Ph,0
159,32,6,79,0,8.687426512,4.818228357,51.78530195,4.767426238,0.5,2,3,0,1,0,1,0,Ph,0
160,61,35,41,0,0.257362723,0.156169455,1.739238164,0.120152365,0.5,4,2,0,0,0,1,1,Email,0
161,29,0,134,0,20.03304841,21.84480241,1.99983482,22.17225317,0,4,3,0,0,0,0,0,Email,1
162,61,35,80,0,20.97344374,22.97804064,2.099972005,22.93105305,0.25,2,1,0,0,0,1,0,Email,0
163,38,12,52,0,19.50326783,21.08338458,1.902678421,21.2783325,0,1,1,0,0,0,0,0,Ph,0
164,28,4,70,0,0.54854867,0.680347693,0.062587748,0.568015988,0.25,4,1,0,0,0,1,0,Email,0
165,53,27,92,0,28.79402567,28.17473148,27.53301561,3.937875413,0.25,2,1,0,0,0,0,1,Email,0
166,27,1,43,0,30.30010327,29.23914774,28.64153871,4.197998323,0.25,1,1,0,0,0,1,0,Ph,0
167,25,1,21,0,27.58231473,26.70517948,26.69438276,3.802639207,0,3,2,0,0,0,0,0,Email,0
168,33,9,23,0,0.943547234,0.980406977,0.632340623,0.133511984,0.5,3,3,0,1,0,1,0,Email,0
169,50,22.44838039,13,0,14.0098055,6.056701777,20.03582787,21.91015687,0.25,4,1,0,0,0,1,0,Ph,0
170,27,1,112,0,14.56388738,6.298677687,20.85503705,22.78264423,0.25,4,3,0,1,0,0,0,Email,0
171,27,1,138,0,13.40085035,5.71007693,19.13846862,20.93947875,0.25,2,1,0,0,0,1,0,Ph,0
172,52,28,11,0,0.392015568,0.185683321,0.573312168,0.720164798,0.25,3,1,0,0,0,0,1,Email,0
173,38,13,171,0,8.99502845,49.33103555,6.922703499,37.53872718,0.25,2,1,0,0,0,1,0,Ph,0
174,58,34,42,0,9.266679276,51.15260222,7.26636193,38.8631028,0.5,4,1,0,1,0,1,0,Email,0
175,42,17,168,0,8.560918436,47.07669591,6.665466854,36.32445101,0.25,2,2,0,0,0,1,0,Ph,1
176,45,20,85,0,0.225036831,1.347698399,0.227898107,0.775965298,0.5,4,2,0,0,0,1,1,Email,0
177,52,25,44,135,75.07949014,1.995002301,47.13710942,2.980502078,0.25,3,2,1,0,0,1,0,Email,0
178,29,3,65,244,78.42945768,2.094597894,48.62642985,3.130758091,0,4,2,1,0,0,0,0,Email,0
179,53,29,24,0,72.31947966,1.94264681,45.66973743,2.85712147,0.5,4,1,0,1,0,1,0,Ph,0
180,62,26.10303327,11,0,2.280369402,0.045148739,0.889116688,0.10433314,0.25,1,1,0,0,0,1,0,Ph,0
181,51,27,38,164,32.01765875,5.980246422,30.19283914,15.10943929,0.25,1,3,1,0,0,1,0,Email,0
182,36,12,10,81,33.10610148,6.291389631,30.95532842,15.69791304,0,4,2,1,0,0,0,0,Email,0
183,24,0,135,0,30.41382841,5.745354443,29.46084463,14.25016295,0.25,1,1,0,0,0,1,0,Email,0
184,29,3,148,0,0.957367957,0.172664144,0.488101309,0.519303662,0.25,3,1,0,0,0,1,0,Ph,1
185,52,26,63,0,9.111754546,18.85426122,1.004173875,30.98792979,0.5,2,2,0,0,0,1,1,Email,0
186,39,14,115,0,9.443845633,19.37026165,1.045771831,32.40595161,0.333333333,1,3,0,0,0,1,0,Email,0
187,48,22.41659222,45,0,8.572628842,18.41809373,0.957703891,29.47945171,0.5,1,1,0,1,0,1,0,Email,0
188,46,21,159,315,0.285776971,0.35486673,0.02943195,1.057872642,0.25,3,3,1,0,0,1,0,Ph,1
189,64,40,169,70.26180417,3.023375903,24.78829257,2.005836603,4.017784997,0.25,2,1,0,0,0,1,0,Email,0
190,55,29,112,0,3.146408607,26.22317912,2.084604153,4.18888601,0.25,2,1,0,0,0,1,0,Ph,0
191,60,36,93,0,2.887275667,23.75064381,1.904571699,3.849243439,0.333333333,1,1,0,0,0,1,0,Email,0
192,51,25,29,140,0.089037285,0.93322762,0.059238721,0.137165466,0,1,3,1,0,0,0,0,Email,0
193,50,23,85,0,58.43147748,47.0700625,35.43303094,13.20084653,0.25,1,2,0,0,0,1,0,Email,0
194,48,24,21,0,60.65945991,48.78551281,36.74897558,13.64351799,0.5,4,1,0,1,0,1,0,Email,0
195,53,29,144,0,56.12822822,45.07871943,33.77878521,12.68207274,0.25,2,1,0,0,0,1,0,Email,0
196,34,10,13,95,1.780345727,1.278975112,1.186853309,0.351190537,0.5,4,1,1,0,0,1,1,Email,0
197,48,24,165,0,23.63619535,8.903013885,9.09831983,3.03257666,0.25,1,1,0,1,0,0,0,Email,0
198,55,31,9,89,25.11978734,9.292888834,9.441985227,3.149909497,0.25,4,1,1,0,0,1,0,Email,0
199,27,3,59,90,22.8590318,8.586364425,8.632060503,2.860744563,0.5,4,1,1,0,0,1,1,Email,0
200,36,16.41095842,158,0,0.731474237,0.237229834,0.28705536,0.080124126,0.75,1,3,0,1,1,1,0,Ph,1
201,32,6,29,0,9.053683861,5.966458244,6.018673499,6.087466964,0.5,1,3,0,1,0,1,0,Email,0
202,35,9,76.31110968,0,9.436693738,6.195122233,6.281980714,6.287750214,0.666666667,2,3,0,1,0,1,0,Ph,0
203,30,14.62091441,68,0,8.716934093,5.703734197,5.782304198,5.73651882,0.25,4,1,0,0,0,1,0,Email,0
204,50.95561672,34,65,0,0.253768505,0.179555352,0.162244979,0.201912569,0.25,4,1,0,0,0,1,0,Email,0
205,56,31,61,105,38.07832205,22.16241717,27.38690922,4.030816279,0,2,2,1,0,0,0,0,Email,0
206,38,12,91,60.66479949,39.5966594,23.03428519,28.03786457,4.164405132,0.25,4,2,0,1,0,0,0,Email,0
207,49,25,31,0,37.02027415,20.98338123,26.45368643,3.875653679,0.333333333,1,1,0,0,0,1,1,Email,0
208,34,10,71,0,0.856486975,0.666364383,0.657284592,0.095024952,0,4,2,0,0,0,0,0,Email,0
209,40,16,73.43318738,0,2.012929673,11.96750335,18.81821929,9.065855504,0.5,2,1,0,1,0,1,0,Ph,0
210,64,39,172,282,2.086876859,12.36793439,19.66989169,9.406175888,0.75,4,1,1,1,1,1,0,Email,1
211,51,26,20,0,1.914107434,11.56685346,18.23120348,8.711546778,0,2,1,0,0,0,0,0,Email,0
212,44,18,55,0,0.058231203,0.297461931,0.55958829,0.211450006,0,1,1,0,0,0,0,0,Email,0
213,46,22,69,209,27.05487446,25.88942071,21.822549,26.27732864,0,2,1,1,0,0,0,0,Email,0
214,57,33,155,0,28.0375453,27.23924607,22.95692665,27.29640311,0.25,1,1,0,0,0,1,0,Ph,0
215,54,28,94,0,25.80740757,24.73586904,20.90426792,25.22128237,0,1,2,0,0,0,0,0,Email,0
216,38,14,92,249,0.706500176,0.849250849,0.801992018,0.715895094,0.5,2,1,1,1,0,1,0,Email,0
217,27,3,125,0,2.955980795,98.7418033,10.98469507,103.8887261,0,2,1,0,0,0,0,0,Email,0
218,39,14,74,0,3.060236443,102.277275,11.49707321,107.2896245,0,3,1,0,0,0,0,0,Ph,0
219,45.33803457,20,72,0,2.850957377,95.63734986,10.54542152,100.8340358,0.25,3,3,0,0,0,1,0,Email,0
220,56,30,61,0,0.068820811,2.102360773,0.327307589,2.206107417,0.5,1,3,0,1,0,1,0,Email,0
221,32,6,25,0,98.27123329,3.959279134,22.264711,11.12133973,0.25,2,1,0,1,0,0,0,Email,0
222,45,19,83,56.50606565,102.2218387,4.123338089,22.95468926,11.51942749,0.25,2,2,0,0,0,1,0,Email,0
223,26,2,73.54688823,0,94.76342665,3.826088286,21.26561633,10.79802377,0,3,1,0,0,0,0,0,Email,0
224,55,25,41,0,2.770843976,0.083810553,0.646089201,0.226935186,0.333333333,3,3,0,0,0,1,0,Email,0
225,52,27,58,54.95487517,1.9743543,13.93398052,18.97707758,10.96112885,0,4,3,0,0,0,0,0,Email,0
226,39,13,93,0,2.074534683,14.62448929,19.93677186,11.41511766,0.25,1,3,0,1,0,0,0,Email,0
227,24,-1,39,0,1.904445392,13.34122764,18.130598,10.56998523,0,2,2,0,0,0,0,0,Email,0
228,47,23,148,0,0.048922489,0.420374442,0.528553907,0.251942836,0.75,2,1,0,1,1,1,0,Email,0
229,47,22,53,98,14.86350883,81.67176238,2.979641125,96.04635494,0.75,4,3,1,1,1,0,1,Ph,0
230,48,24,71,55.02405724,15.70305324,84.59744742,3.073908829,100.7834907,0.333333333,2,1,1,1,0,0,0,Email,0
231,47,22,92,0,14.3163256,78.35715723,2.867892883,92.87759597,0.25,1,2,0,0,0,1,0,Email,0
232,35,10,61,0,0.492765955,2.531854222,0.064667136,2.542984511,0.25,4,3,0,0,0,1,0,Email,0
233,46,19,38,135,3.022291661,26.1314899,87.28907568,82.9299786,0,3,2,1,0,0,0,0,Email,0
234,62,37,58,0,3.136698796,27.27631417,90.17785515,86.68567556,0.25,4,1,0,0,0,1,0,Email,0
235,26,1,80,150,2.851624054,24.71098874,84.19094659,79.92432374,0,1,2,1,0,0,0,0,Email,0
236,38,8,71,0,0.08831561,0.729127476,1.980036372,2.247099312,0.25,4,3,0,0,0,1,0,Email,0
237,43,18,89,59.3478799,58.37123603,26.24416833,34.66205257,20.25018454,0.5,3,3,1,1,0,1,0,Email,0
238,62,38,83,0,61.48017756,27.26433748,36.43317422,20.93483969,0.333333333,1,3,0,0,0,1,0,Ph,0
239,57,32,28,0,56.21520269,24.77374162,33.33711761,19.08632884,0.5,3,1,0,1,0,1,0,Ph,0
240,28,3,52,0,1.815811429,0.843248766,1.000321906,0.571589596,0,4,2,0,0,0,0,0,Ph,0
