"Text","Author"
"The mist was heavier yet when I got out upon the marshes, so that instead of my running at everything, everything seemed to run at me. This was very disagreeable to a guilty mind. The gates and dikes and banks came bursting at me through the mist, as if they cried as plainly as could be, A boy with Somebody's else's pork pie! Stop him! The cattle came upon me with like suddenness, staring out of their eyes, and steaming out of their nostrils, Halloa, young thief! One black ox, with a white cravat on,—who even had to my awakened conscience something of a clerical air,—fixed me so obstinately with his eyes, and moved his blunt head round in such an accusatory manner as I moved round, that I blubbered out to him, I couldn't help it, sir! It wasn't for myself I took it! Upon which he put down his head, blew a cloud of smoke out of his nose, and vanished with a kick-up of his hind-legs and a flourish of his tail.","Charles"
"All this time, I was getting on towards the river; but however fast I went, I couldn't warm my feet, to which the damp cold seemed riveted, as the iron was riveted to the leg of the man I was running to meet. I knew my way to the Battery, pretty straight, for I had been down there on a Sunday with Joe, and Joe, sitting on an old gun, had told me that when I was 'prentice to him, regularly bound, we would have such Larks there! However, in the confusion of the mist, I found myself at last too far to the right, and consequently had to try back along the river-side, on the bank of loose stones above the mud and the stakes that staked the tide out. Making my way along here with all despatch, I had just crossed a ditch which I knew to be very near the Battery, and had just scrambled up the mound beyond the ditch, when I saw the man sitting before me. His back was towards me, and he had his arms folded, and was nodding forward, heavy with sleep.","Charles"
"Why, see now! said he. When a man's alone on these flats, with a light head and a light stomach, perishing of cold and want, he hears nothin' all night, but guns firing, and voices calling. Hears? He sees the soldiers, with their red coats lighted up by the torches carried afore, closing in round him. Hears his number called, hears himself challenged, hears the rattle of the muskets, hears the orders 'Make ready! Present! Cover him steady, men!' and is laid hands on—and there's nothin'! Why, if I see one pursuing party last night—coming up in order, Damn 'em, with their tramp, tramp—I see a hundred. And as to firing! Why, I see the mist shake with the cannon, arter it was broad day,—But this man; he had said all the rest, as if he had forgotten my being there; did you notice anything in him?","Charles"
"I indicated in what direction the mist had shrouded the other man, and he looked up at it for an instant. But he was down on the rank wet grass, filing at his iron like a madman, and not minding me or minding his own leg, which had an old chafe upon it and was bloody, but which he handled as roughly as if it had no more feeling in it than the file. I was very much afraid of him again, now that he had worked himself into this fierce hurry, and I was likewise very much afraid of keeping away from home any longer. I told him I must go, but he took no notice, so I thought the best thing I could do was to slip off. The last I saw of him, his head was bent over his knee and he was working hard at his fetter, muttering impatient imprecations at it and at his leg. The last I heard of him, I stopped in the mist to listen, and the file was still going.","Charles"
"So, we had our slices served out, as if we were two thousand troops on a forced march instead of a man and boy at home; and we took gulps of milk and water, with apologetic countenances, from a jug on the dresser. In the meantime, Mrs. Joe put clean white curtains up, and tacked a new flowered flounce across the wide chimney to replace the old one, and uncovered the little state parlor across the passage, which was never uncovered at any other time, but passed the rest of the year in a cool haze of silver paper, which even extended to the four little white crockery poodles on the mantel-shelf, each with a black nose and a basket of flowers in his mouth, and each the counterpart of the other. Mrs. Joe was a very clean housekeeper, but had an exquisite art of making her cleanliness more uncomfortable and unacceptable than dirt itself. Cleanliness is next to Godliness, and some people do the same by their religion.","Charles"
"My sister, having so much to do, was going to church vicariously, that is to say, Joe and I were going. In his working-clothes, Joe was a well-knit characteristic-looking blacksmith; in his holiday clothes, he was more like a scarecrow in good circumstances, than anything else. Nothing that he wore then fitted him or seemed to belong to him; and everything that he wore then grazed him. On the present festive occasion he emerged from his room, when the blithe bells were going, the picture of misery, in a full suit of Sunday penitentials. As to me, I think my sister must have had some general idea that I was a young offender whom an Accoucheur Policeman had taken up (on my birthday) and delivered over to her, to be dealt with according to the outraged majesty of the law. I was always treated as if I had insisted on being born in opposition to the dictates of reason, religion, and morality, and against the dissuading arguments of my best friends. Even when I was taken to have a new suit of clothes, the tailor had orders to make them like a kind of Reformatory, and on no account to let me have the free use of my limbs.","Charles"
"Joe and I going to church, therefore, must have been a moving spectacle for compassionate minds. Yet, what I suffered outside was nothing to what I underwent within. The terrors that had assailed me whenever Mrs. Joe had gone near the pantry, or out of the room, were only to be equalled by the remorse with which my mind dwelt on what my hands had done. Under the weight of my wicked secret, I pondered whether the Church would be powerful enough to shield me from the vengeance of the terrible young man, if I divulged to that establishment. I conceived the idea that the time when the banns were read and when the clergyman said, Ye are now to declare it! would be the time for me to rise and propose a private conference in the vestry. I am far from being sure that I might not have astonished our small congregation by resorting to this extreme measure, but for its being Christmas Day and no Sunday.","Charles"
"The time came, without bringing with it any relief to my feelings, and the company came. Mr. Wopsle, united to a Roman nose and a large shining bald forehead, had a deep voice which he was uncommonly proud of; indeed it was understood among his acquaintance that if you could only give him his head, he would read the clergyman into fits; he himself confessed that if the Church was thrown open, meaning to competition, he would not despair of making his mark in it. The Church not being thrown open, he was, as I have said, our clerk. But he punished the Amens tremendously; and when he gave out the psalm,—always giving the whole verse,—he looked all round the congregation first, as much as to say, You have heard my friend overhead; oblige me with your opinion of this style!","Charles"
"We dined on these occasions in the kitchen, and adjourned, for the nuts and oranges and apples to the parlor; which was a change very like Joe's change from his working-clothes to his Sunday dress. My sister was uncommonly lively on the present occasion, and indeed was generally more gracious in the society of Mrs. Hubble than in other company. I remember Mrs. Hubble as a little curly sharp-edged person in sky-blue, who held a conventionally juvenile position, because she had married Mr. Hubble,—I don't know at what remote period,—when she was much younger than he. I remember Mr Hubble as a tough, high-shouldered, stooping old man, of a sawdusty fragrance, with his legs extraordinarily wide apart: so that in my short days I always saw some miles of open country between them when I met him coming up the lane.","Charles"
"Among this good company I should have felt myself, even if I hadn't robbed the pantry, in a false position. Not because I was squeezed in at an acute angle of the tablecloth, with the table in my chest, and the Pumblechookian elbow in my eye, nor because I was not allowed to speak (I didn't want to speak), nor because I was regaled with the scaly tips of the drumsticks of the fowls, and with those obscure corners of pork of which the pig, when living, had had the least reason to be vain. No; I should not have minded that, if they would only have left me alone. But they wouldn't leave me alone. They seemed to think the opportunity lost, if they failed to point the conversation at me, every now and then, and stick the point into me. I might have been an unfortunate little bull in a Spanish arena, I got so smartingly touched up by these moral goads.","Charles"
"But I don't mean in that form, sir, returned Mr. Pumblechook, who had an objection to being interrupted; I mean, enjoying himself with his elders and betters, and improving himself with their conversation, and rolling in the lap of luxury. Would he have been doing that? No, he wouldn't. And what would have been your destination? turning on me again. You would have been disposed of for so many shillings according to the market price of the article, and Dunstable the butcher would have come up to you as you lay in your straw, and he would have whipped you under his left arm, and with his right he would have tucked up his frock to get a penknife from out of his waistcoat-pocket, and he would have shed your blood and had your life. No bringing up by hand then. Not a bit of it!","Charles"
"Joe threw his eye over them, and pronounced that the job would necessitate the lighting of his forge fire, and would take nearer two hours than one, Will it? Then will you set about it at once, blacksmith? said the off-hand sergeant, as it's on his Majesty's service. And if my men can bear a hand anywhere, they'll make themselves useful. With that, he called to his men, who came trooping into the kitchen one after another, and piled their arms in a corner. And then they stood about, as soldiers do; now, with their hands loosely clasped before them; now, resting a knee or a shoulder; now, easing a belt or a pouch; now, opening the door to spit stiffly over their high stocks, out into the yard.","Charles"
"As I watched them while they all stood clustering about the forge, enjoying themselves so much, I thought what terrible good sauce for a dinner my fugitive friend on the marshes was. They had not enjoyed themselves a quarter so much, before the entertainment was brightened with the excitement he furnished. And now, when they were all in lively anticipation of the two villains being taken, and when the bellows seemed to roar for the fugitives, the fire to flare for them, the smoke to hurry away in pursuit of them, Joe to hammer and clink for them, and all the murky shadows on the wall to shake at them in menace as the blaze rose and sank, and the red-hot sparks dropped and died, the pale afternoon outside almost seemed in my pitying young fancy to have turned pale on their account, poor wretches.","Charles"
"We were joined by no stragglers from the village, for the weather was cold and threatening, the way dreary, the footing bad, darkness coming on, and the people had good fires in-doors and were keeping the day. A few faces hurried to glowing windows and looked after us, but none came out. We passed the finger-post, and held straight on to the churchyard. There we were stopped a few minutes by a signal from the sergeant's hand, while two or three of his men dispersed themselves among the graves, and also examined the porch. They came in again without finding anything, and then we struck out on the open marshes, through the gate at the side of the churchyard. A bitter sleet came rattling against us here on the east wind, and Joe took me on his back.","Charles"
"It was of no use asking myself this question now. There I was, on Joe's back, and there was Joe beneath me, charging at the ditches like a hunter, and stimulating Mr. Wopsle not to tumble on his Roman nose, and to keep up with us. The soldiers were in front of us, extending into a pretty wide line with an interval between man and man. We were taking the course I had begun with, and from which I had diverged in the mist. Either the mist was not out again yet, or the wind had dispelled it. Under the low red glare of sunset, the beacon, and the gibbet, and the mound of the Battery, and the opposite shore of the river, were plain, though all of a watery lead color.","Charles"
"With my heart thumping like a blacksmith at Joe's broad shoulder, I looked all about for any sign of the convicts. I could see none, I could hear none. Mr. Wopsle had greatly alarmed me more than once, by his blowing and hard breathing; but I knew the sounds by this time, and could dissociate them from the object of pursuit. I got a dreadful start, when I thought I heard the file still going; but it was only a sheep-bell. The sheep stopped in their eating and looked timidly at us; and the cattle, their heads turned from the wind and sleet, stared angrily as if they held us responsible for both annoyances; but, except these things, and the shudder of the dying day in every blade of grass, there was no break in the bleak stillness of the marshes.","Charles"
"It was a run indeed now, and what Joe called, in the only two words he spoke all the time, a Winder. Down banks and up banks, and over gates, and splashing into dikes, and breaking among coarse rushes: no man cared where he went. As we came nearer to the shouting, it became more and more apparent that it was made by more than one voice. Sometimes, it seemed to stop altogether, and then the soldiers stopped. When it broke out again, the soldiers made for it at a greater rate than ever, and we after them. After a while, we had so run it down, that we could hear one voice calling Murder! and another voice, Convicts! Runaways! Guard! This way for the runaway convicts! Then both voices would seem to be stifled in a struggle, and then would break out again. And when it had come to this, the soldiers ran like deer, and Joe too.","Charles"
"As one of the soldiers, who carried a basket in lieu of a gun, went down on his knee to open it, my convict looked round him for the first time, and saw me. I had alighted from Joe's back on the brink of the ditch when we came up, and had not moved since. I looked at him eagerly when he looked at me, and slightly moved my hands and shook my head. I had been waiting for him to see me that I might try to assure him of my innocence. It was not at all expressed to me that he even comprehended my intention, for he gave me a look that I did not understand, and it all passed in a moment. But if he had looked at me for an hour or for a day, I could not have remembered his face ever afterwards, as having been more attentive.","Charles"
"The two were kept apart, and each walked surrounded by a separate guard. I had hold of Joe's hand now, and Joe carried one of the torches. Mr. Wopsle had been for going back, but Joe was resolved to see it out, so we went on with the party. There was a reasonably good path now, mostly on the edge of the river, with a divergence here and there where a dike came, with a miniature windmill on it and a muddy sluice-gate. When I looked round, I could see the other lights coming in after us. The torches we carried dropped great blotches of fire upon the track, and I could see those, too, lying smoking and flaring. I could see nothing else but black darkness. Our lights warmed the air about us with their pitchy blaze, and the two prisoners seemed rather to like that, as they limped along in the midst of the muskets. We could not go fast, because of their lameness; and they were so spent, that two or three times we had to halt while they rested.","Charles"
"After an hour or so of this travelling, we came to a rough wooden hut and a landing-place. There was a guard in the hut, and they challenged, and the sergeant answered. Then, we went into the hut, where there was a smell of tobacco and whitewash, and a bright fire, and a lamp, and a stand of muskets, and a drum, and a low wooden bedstead, like an overgrown mangle without the machinery, capable of holding about a dozen soldiers all at once. Three or four soldiers who lay upon it in their great-coats were not much interested in us, but just lifted their heads and took a sleepy stare, and then lay down again. The sergeant made some kind of report, and some entry in a book, and then the convict whom I call the other convict was drafted off with his guard, to go on board first.","Charles"
"The something that I had noticed before, clicked in the man's throat again, and he turned his back. The boat had returned, and his guard were ready, so we followed him to the landing-place made of rough stakes and stones, and saw him put into the boat, which was rowed by a crew of convicts like himself. No one seemed surprised to see him, or interested in seeing him, or glad to see him, or sorry to see him, or spoke a word, except that somebody in the boat growled as if to dogs, Give way, you! which was the signal for the dip of the oars. By the light of the torches, we saw the black Hulk lying out a little way from the mud of the shore, like a wicked Noah's ark. Cribbed and barred and moored by massive rusty chains, the prison-ship seemed in my young eyes to be ironed like the prisoners. We saw the boat go alongside, and we saw him taken up the side and disappear. Then, the ends of the torches were flung hissing into the water, and went out, as if it were all over with him.","Charles"
"I do not recall that I felt any tenderness of conscience in reference to Mrs. Joe, when the fear of being found out was lifted off me. But I loved Joe,—perhaps for no better reason in those early days than because the dear fellow let me love him,—and, as to him, my inner self was not so easily composed. It was much upon my mind (particularly when I first saw him looking about for his file) that I ought to tell Joe the whole truth. Yet I did not, and for the reason that I mistrusted that if I did, he would think me worse than I was. The fear of losing Joe's confidence, and of thenceforth sitting in the chimney corner at night staring drearily at my forever lost companion and friend, tied up my tongue. I morbidly represented to myself that if Joe knew it, I never afterwards could see him at the fireside feeling his fair whisker, without thinking that he was meditating on it. That, if Joe knew it, I never afterwards could see him glance, however casually, at yesterday's meat or pudding when it came on to-day's table, without thinking that he was debating whether I had been in the pantry. That, if Joe knew it, and at any subsequent period of our joint domestic life remarked that his beer was flat or thick, the conviction that he suspected Tar in it, would bring a rush of blood to my face. In a word, I was too cowardly to do what I knew to be right, as I had been too cowardly to avoid doing what I knew to be wrong. I had had no intercourse with the world at that time, and I imitated none of its many inhabitants who act in this manner. Quite an untaught genius, I made the discovery of the line of action for myself.","Charles"
"By that time, I was staggering on the kitchen floor like a little drunkard, through having been newly set upon my feet, and through having been fast asleep, and through waking in the heat and lights and noise of tongues. As I came to myself (with the aid of a heavy thump between the shoulders, and the restorative exclamation Yah! Was there ever such a boy as this! from my sister,) I found Joe telling them about the convict's confession, and all the visitors suggesting different ways by which he had got into the pantry. Mr. Pumblechook made out, after carefully surveying the premises, that he had first got upon the roof of the forge, and had then got upon the roof of the house, and had then let himself down the kitchen chimney by a rope made of his bedding cut into strips; and as Mr. Pumblechook was very positive and drove his own chaise-cart—over Everybody—it was agreed that it must be so. Mr. Wopsle, indeed, wildly cried out, No! with the feeble malice of a tired man; but, as he had no theory, and no coat on, he was unanimously set at naught,—not to mention his smoking hard behind, as he stood with his back to the kitchen fire to draw the damp out: which was not calculated to inspire confidence.","Charles"
"At the time when I stood in the churchyard reading the family tombstones, I had just enough learning to be able to spell them out. My construction even of their simple meaning was not very correct, for I read wife of the Above as a complimentary reference to my father's exaltation to a better world; and if any one of my deceased relations had been referred to as Below, I have no doubt I should have formed the worst opinions of that member of the family. Neither were my notions of the theological positions to which my Catechism bound me, at all accurate; for, I have a lively remembrance that I supposed my declaration that I was to walk in the same all the days of my life, laid me under an obligation always to go through the village from our house in one particular direction, and never to vary it by turning down by the wheelwright's or up by the mill.","Charles"
"When I was old enough, I was to be apprenticed to Joe, and until I could assume that dignity I was not to be what Mrs. Joe called Pompeyed, or (as I render it) pampered. Therefore, I was not only odd-boy about the forge, but if any neighbor happened to want an extra boy to frighten birds, or pick up stones, or do any such job, I was favored with the employment. In order, however, that our superior position might not be compromised thereby, a money-box was kept on the kitchen mantel-shelf, in to which it was publicly made known that all my earnings were dropped. I have an impression that they were to be contributed eventually towards the liquidation of the National Debt, but I know I had no hope of any personal participation in the treasure.","Charles"
"Mr. Wopsle's great-aunt kept an evening school in the village; that is to say, she was a ridiculous old woman of limited means and unlimited infirmity, who used to go to sleep from six to seven every evening, in the society of youth who paid two pence per week each, for the improving opportunity of seeing her do it. She rented a small cottage, and Mr. Wopsle had the room up stairs, where we students used to overhear him reading aloud in a most dignified and terrific manner, and occasionally bumping on the ceiling. There was a fiction that Mr. Wopsle examined the scholars once a quarter. What he did on those occasions was to turn up his cuffs, stick up his hair, and give us Mark Antony's oration over the body of Caesar. This was always followed by Collins's Ode on the Passions, wherein I particularly venerated Mr. Wopsle as Revenge throwing his blood-stained sword in thunder down, and taking the War-denouncing trumpet with a withering look. It was not with me then, as it was in later life, when I fell into the society of the Passions, and compared them with Collins and Wopsle, rather to the disadvantage of both gentlemen.","Charles"
"Mr. Wopsle's great-aunt, besides keeping this Educational Institution, kept in the same room—a little general shop. She had no idea what stock she had, or what the price of anything in it was; but there was a little greasy memorandum-book kept in a drawer, which served as a Catalogue of Prices, and by this oracle Biddy arranged all the shop transaction. Biddy was Mr. Wopsle's great-aunt's granddaughter; I confess myself quiet unequal to the working out of the problem, what relation she was to Mr. Wopsle. She was an orphan like myself; like me, too, had been brought up by hand. She was most noticeable, I thought, in respect of her extremities; for, her hair always wanted brushing, her hands always wanted washing, and her shoes always wanted mending and pulling up at heel. This description must be received with a week-day limitation. On Sundays, she went to church elaborated.","Charles"
"'Consequence, my mother and me we ran away from my father several times; and then my mother she'd go out to work, and she'd say, Joe, she'd say, now, please God, you shall have some schooling, child, and she'd put me to school. But my father were that good in his hart that he couldn't abear to be without us. So, he'd come with a most tremenjous crowd and make such a row at the doors of the houses where we was, that they used to be obligated to have no more to do with us and to give us up to him. And then he took us home and hammered us. Which, you see, Pip, said Joe, pausing in his meditative raking of the fire, and looking at me, were a drawback on my learning.","Charles"
"I made it, said Joe, my own self. I made it in a moment. It was like striking out a horseshoe complete, in a single blow. I never was so much surprised in all my life,—couldn't credit my own ed,—to tell you the truth, hardly believed it were my own ed. As I was saying, Pip, it were my intentions to have had it cut over him; but poetry costs money, cut it how you will, small or large, and it were not done. Not to mention bearers, all the money that could be spared were wanted for my mother. She were in poor elth, and quite broke. She weren't long of following, poor soul, and her share of peace come round at last.","Charles"
"And couldn't she ask Uncle Pumblechook if he knew of a boy to go and play there? Isn't it just barely possible that Uncle Pumblechook may be a tenant of hers, and that he may sometimes—we won't say quarterly or half-yearly, for that would be requiring too much of you—but sometimes—go there to pay his rent? And couldn't she then ask Uncle Pumblechook if he knew of a boy to go and play there? And couldn't Uncle Pumblechook, being always considerate and thoughtful for us—though you may not think it, Joseph, in a tone of the deepest reproach, as if he were the most callous of nephews, then mention this boy, standing Prancing here—which I solemnly declare I was not doing—that I have for ever been a willing slave to?","Charles"
"No, Joseph, said my sister, still in a reproachful manner, while Joe apologetically drew the back of his hand across and across his nose, you do not yet—though you may not think it—know the case. You may consider that you do, but you do not, Joseph. For you do not know that Uncle Pumblechook, being sensible that for anything we can tell, this boy's fortune may be made by his going to Miss Havisham's, has offered to take him into town to-night in his own chaise-cart, and to keep him to-night, and to take him with his own hands to Miss Havisham's to-morrow morning. And Lor-a-mussy me! cried my sister, casting off her bonnet in sudden desperation, here I stand talking to mere Mooncalfs, with Uncle Pumblechook waiting, and the mare catching cold at the door, and the boy grimed with crock and dirt from the hair of his head to the sole of his foot!","Charles"
"It was in the early morning after my arrival that I entertained this speculation. On the previous night, I had been sent straight to bed in an attic with a sloping roof, which was so low in the corner where the bedstead was, that I calculated the tiles as being within a foot of my eyebrows. In the same early morning, I discovered a singular affinity between seeds and corduroys. Mr. Pumblechook wore corduroys, and so did his shopman; and somehow, there was a general air and flavor about the corduroys, so much in the nature of seeds, and a general air and flavor about the seeds, so much in the nature of corduroys, that I hardly knew which was which. The same opportunity served me for noticing that Mr. Pumblechook appeared to conduct his business by looking across the street at the saddler, who appeared to transact his business by keeping his eye on the coachmaker, who appeared to get on in life by putting his hands in his pockets and contemplating the baker, who in his turn folded his arms and stared at the grocer, who stood at his door and yawned at the chemist. The watchmaker, always poring over a little desk with a magnifying-glass at his eye, and always inspected by a group of smock-frocks poring over him through the glass of his shop-window, seemed to be about the only person in the High Street whose trade engaged his attention.","Charles"
"Mr. Pumblechook and I breakfasted at eight o'clock in the parlor behind the shop, while the shopman took his mug of tea and hunch of bread and butter on a sack of peas in the front premises. I considered Mr. Pumblechook wretched company. Besides being possessed by my sister's idea that a mortifying and penitential character ought to be imparted to my diet,—besides giving me as much crumb as possible in combination with as little butter, and putting such a quantity of warm water into my milk that it would have been more candid to have left the milk out altogether,—his conversation consisted of nothing but arithmetic. On my politely bidding him Good morning, he said, pompously, Seven times nine, boy? And how should I be able to answer, dodged in that way, in a strange place, on an empty stomach! I was hungry, but before I had swallowed a morsel, he began a running sum that lasted all through the breakfast. Seven? And four? And eight? And six? And two? And ten? And so on. And after each figure was disposed of, it was as much as I could do to get a bite or a sup, before the next came; while he sat at his ease guessing nothing, and eating bacon and hot roll, in (if I may be allowed the expression) a gorging and gormandizing manner.","Charles"
"For such reasons, I was very glad when ten o'clock came and we started for Miss Havisham's; though I was not at all at my ease regarding the manner in which I should acquit myself under that lady's roof. Within a quarter of an hour we came to Miss Havisham's house, which was of old brick, and dismal, and had a great many iron bars to it. Some of the windows had been walled up; of those that remained, all the lower were rustily barred. There was a courtyard in front, and that was barred; so we had to wait, after ringing the bell, until some one should come to open it. While we waited at the gate, I peeped in (even then Mr. Pumblechook said, And fourteen? but I pretended not to hear him), and saw that at the side of the house there was a large brewery. No brewing was going on in it, and none seemed to have gone on for a long long time.","Charles"
"She was dressed in rich materials,—satins, and lace, and silks,—all of white. Her shoes were white. And she had a long white veil dependent from her hair, and she had bridal flowers in her hair, but her hair was white. Some bright jewels sparkled on her neck and on her hands, and some other jewels lay sparkling on the table. Dresses, less splendid than the dress she wore, and half-packed trunks, were scattered about. She had not quite finished dressing, for she had but one shoe on,—the other was on the table near her hand,—her veil was but half arranged, her watch and chain were not put on, and some lace for her bosom lay with those trinkets, and with her handkerchief, and gloves, and some flowers, and a Prayer-Book all confusedly heaped about the looking-glass.","Charles"
